Language,Failsafe I/O
1C:Enterprise,
Ada,
ALGOL,
AutoHotkey,
Bash,
Ballerina,
Bro,
C,
C++,
C#,
COBOL,
Common Lisp,
Curry,
D,
Eiffel,
Erlang,
Fortran,
GLBasic,
Go,
Gosu,
Harbour,
Haskell,
ISLISP,
Java,
Julia,
Kotlin,
LabVIEW,
Lua,
Mathematica,
Object Pascal,
Objective-C,
OCaml,
OpenLisp,
Perl,
PHP,
Python,
Raku,
Rebol,
Rexx,
RPG,
Ruby,
Rust,
S,
Smalltalk,
Scala,
Standard ML,date=February 2011
Swift ? 2.0,
Tcl,
Visual Basic,
Visual Basic .NET,
Visual Prolog,
Wolfram Language,
Xojo,
XPath/XQuery,
Language,Failsafe I/O
