,Integer,Single precision,Double precision,Half and Quadruple precision etc.
Ada[1],,Complexgeneric type[b],Complexgeneric type[b],Complexgeneric type[b]
ALGOL 68,,compl,long compl etc.,short compl etc. & long long compl etc.
C (C99) [9],,float complex,double complex,rowspan=7 
C++ (STL),,std::complex<float>,std::complex<double>,
C#,,,System.Numerics.Complex (.NET 4.0),
Java,,,,
Go,,complex64,complex128,
D,,cfloat,cdouble,
Objective-C,,,,
Common Lisp,(complex integer),(complex single-float),(complex double-float),complex
Scheme,,,,rowspan=4 
Pascal,,,,
Visual Basic,,,,
Visual Basic .NET,,,System.Numerics.Complex (.NET 4.0),
Perl,,,Math::Complex,
Raku,,complex64,complex128,Complex
Python,,,complex,rowspan=15 
JavaScript,,,,
S-Lang,,,,
Fortran,,COMPLEX(KIND = n)complex kinds[a],,
Ruby,Complex,,Complex,
Scala,,,,
Seed7,,,complex,
Smalltalk,Complex,Complex,Complex,
Windows PowerShell,,,,
OCaml,,,Complex.t,
F#,,,System.Numerics.Complex (.NET 4.0),
Standard ML,,,,
Haskell (GHC),,Complex.Complex Float,Complex.Complex Double,
Eiffel,,,,
COBOL,,,,
Mathematica,Complex,,,Complex
