,string to integer,string to long integer,string to floating point,integer to string,floating point to string
Ada[1],Integer'Value (string_expression),Long_Integer'Value (string_expression),Float'Value (string_expression),Integer'Image (integer_expression),Float'Image (float_expression)
"ALGOL 68 with general, and then specific formats","With prior declarations and association of: string buf := "12345678.9012e34 "; file proxy; associate(proxy, buf);",,,,
,"get(proxy, ivar);","get(proxy, livar);","get(proxy, rvar);","put(proxy, ival);","put(proxy, rval);"
,"getf(proxy, ($g$, ivar)); or getf(proxy, ($dddd$, ivar));","getf(proxy, ($g$, livar)); or getf(proxy, ($8d$, livar));","getf(proxy, ($g$, rvar)); or getf(proxy, ($8d.4dE2d$, rvar));","putf(proxy, ($g$, ival)); or putf(proxy, ($4d$, ival));","putf(proxy, ($g(width, places, exp)$, rval)); or putf(proxy, ($8d.4dE2d$, rval));"
APL,?string_expression,?string_expression,?string_expression,?integer_expression,?float_expression
C (C99),integer = atoi(string);,long = atol(string);,float = atof(string);,"sprintf(string, "%i", integer);","sprintf(string, "%f", float);"
Objective-C,integer = [string intValue];,long = [string longLongValue];,float = [string doubleValue];,"string = [NSString stringWithFormat<wbr/>:@"%i", integer];","string = [NSString stringWithFormat<wbr/>:@"%f", float];"
C++ (STL),«std::»istringstream(string) >> number;,,,«std::»ostringstream o; o << number; string = o.str();,
C++11,integer = «std::»stoi(string);,long = «std::»stol(string);,float = «std::»stof(string); double = «std::»stod(string);,string = «std::»to_string(number);,
C#,integer = int.Parse<wbr/>(string);,long = long.Parse<wbr/>(string);,float = float.Parse<wbr/>(string); double = double.Parse<wbr />(string);,string = number<wbr/>.ToString();,
D,integer = std.conv.to!int<wbr/>(string),long = std.conv.to!long<wbr/>(string),float = std.conv.to!float<wbr/>(string) double = std.conv.to!double<wbr />(string),string = std.conv.to!string<wbr/>(number),
Java,integer = Integer.parseInt<wbr/>(string);,long = Long.parseLong<wbr/>(string);,float = Float.parseFloat<wbr/>(string); double = Double.parseDouble<wbr/>(string);,string = Integer.toString<wbr/>(integer); string = String.valueOf<wbr />(integer);,string = Float.toString<wbr/>(float); string = Double.toString<wbr />(double);
JavaScriptJavaScript's technicalities[a],integer = parseInt(string);,,float = parseFloat(string); float = new Number (string); float = Number (string); float = +string;,string = number.toString (); string = String (number); string = number+""; string = `${number}`,
Go,"integer, error = strconv.Atoi(string) integer, error = strconv.ParseInt<wbr/>(string, 10, 0)","long, error = strconv.ParseInt<wbr/>(string, 10, 64)","float, error = strconv.ParseFloat<wbr/>(string, 64)","string = strconv.Itoa(integer) string = strconv.FormatInt<wbr />(integer, 10) string = fmt.Sprint(integer)",string = strconv.FormatFloat<wbr/>(float) string = fmt.Sprint<wbr />(float)
RustRust type conversion[d],string.parse::<i32>() i32::from_str(string),string.parse::<i64>() i64::from_str(string),string.parse::<f64>() f64::from_str(string),integer.to_string(),float.to_string()
Common Lisp,(setf integer (parse-integer string)),,(setf float (read-from-string string)),(setf string (princ-to-string number)),
Scheme,(define number (string->number string)),,,(define string (number->string number)),
ISLISP,(setf integer (convert string <integer>)),,(setf float (convert string <float>)),(setf string (convert number <string>)),
Pascal,integer := StrToInt(string);,,float := StrToFloat(string);,string := IntToStr(integer);,string := FloatToStr(float);
Visual Basic,integer = CInt(string),long = CLng(string),float = CSng(string) double = CDbl(string),string = CStr(number),
Visual Basic .NET (can use both VB syntax above and .NET methods shown right),integer = Integer.Parse<wbr />(string),long = Long.Parse<wbr />(string),float = Single.Parse<wbr />(string) double = Double.Parse<wbr />(string),string = number<wbr />.ToString(),
Xojo,integer = Val(string),long = Val(string),double = Val(string) double = CDbl(string),string = CStr(number) or string = Str(number),
Python,integer = int(string),long = long(string),float = float(string),string = str(number),
S-Lang,integer = atoi(string);,long = atol(string);,float = atof(string);,string = string(number);,
Fortran,"READ(string,format) number",,,"WRITE(string,format) number",
PHP,integer = intval(string); or integer = (int)string;,,float = floatval(string); float = (float)string;,string = "$number"; or string = strval(number); or string = (string)number;,
PerlPerl's technicalities[b],number = 0 + string;,,,string = "number";,
Raku,number = +string;,,,string = ~number;,
Ruby,integer = string.to_i or integer = Integer(string),,float = string.to_f float = Float(string),string = number.to_s,
Scala,integer = string.toInt,long = string.toLong,float = string.toFloat double = string.toDouble,string = number.toString,
Smalltalk,integer := Integer readFrom: string,,float := Float readFrom: string,string := number asString,
Windows PowerShell,integer = [int]string,long = [long]string,float = [float]string,string = [string]number; or string = "number"; or string = (number).ToString(),
OCaml,let integer = int_<wbr/>of_string string,,let float = float_<wbr/>of_string string,let string = string_<wbr/>of_int integer,let string = string_<wbr/>of_float float
F#,let integer = int string,let integer = int64 string,let float = float string,let string = string number,
Standard ML,val integer = Int<wbr/>.fromString string,,val float = Real<wbr/>.fromString string,val string = Int<wbr/>.toString integer,val string = Real<wbr/>.toString float
Haskell (GHC),number = read string,,,string = show number,
COBOL,MOVE «FUNCTION» NUMVAL(string)COBOL's NUMVAL alternatives[c] TO number,,,MOVE number TO numeric-edited,
