! exit block(break),continue,label,branch (goto),return value from generator
Ada[1],exit «loop_name» «when condition»,,label:,goto label
ALGOL 68,value exit; ...,do statements; skip exit; label: statements od,label: ...,go to label; ... goto label; ... label; ...
APL,:Leave,:Continue,label:,?label or :GoTo label
C (C99),break;,continue;,label:,goto label;
Objective-C,,,,
C++ (STL),,,,
D,,,,
C#,,,,
Java,break «label»;,continue «label»;,,rowspan=2 
JavaScript,,,,yield value«;»
PHP,break «levels»;,continue «levels»;,,goto label;
Perl,last «label»;,next «label»;,,
Raku,,,,
Go,break «label»,continue «label»,,goto label
Swift,break «label»,continue «label»,,
Bash shell,break «levels»,continue «levels»,,
Common Lisp,(return) or (return-from block) or (loop-finish),,(tagbody tag<dl><dd><dl><dd>...</dd></dl>tag</dd></dl>...),(go tag)
Scheme,,,,
ISLISP,(return-from block),,(tagbody tag<dl><dd><dl><dd>...</dd></dl>tag</dd></dl>...),(go tag)
Pascal(ISO),colspan=2 ,label:Pascal's declarations[a],goto label;,rowspan=4 
Pascal(FPC),break;,,,continue;
Visual Basic,"Exit blockAlternatively, for methods, Return",,label:,GoTo label
Xojo,,Continue block,,
Visual Basic .NET,,,,
Python,break,continue,colspan=2 ,yield value
RPG IV,LEAVE;,ITER;,,
S-Lang,break;,continue;,,
Fortran,EXIT,CYCLE,labelFortran label[b],GOTO label
Ruby,break,next,,
Windows PowerShell,break «label»,continue,,
OCaml,rowspan=4 colspan=4 ,,,
F#,,,,
Standard ML,,,,
Haskell (GHC),,,,
COBOL,EXIT PERFORM or EXIT PARAGRAPH or EXIT SECTION or EXIT.,EXIT PERFORM CYCLE,label «SECTION».,GO TO label
Ya,break «from where»; f.e. break for switch;,continue «to where»; f.e. continue for switch;,:label,goto :label;
