,object member,,,class member,namespace member
,method,field,property,,
ABAP Objects,x->method(«parameters»).[39],x->field,,x=>field or x=>method(«parameters[39]»).,
C++ (STL),x.method(parameters) or ptr->method(parameters),x.field or ptr->field,,cls::member,ns::member
Objective-C,[x method«:parameter «bar:parameter ...»»],x->field,x.property (2.0 only) or [x property],[cls method«:parameter «bar:parameter ...»»],
Smalltalk,x method«:parameter «bar:parameter ...»»,,,cls method«:parameter «bar:parameter ...»»,
Swift,x.method(parameters),,x.property,cls.member,
APL (Dyalog),left argument» x.method «right argument(s)»,x.field,x.property,cls.member,ns.member
C#,x.method(parameters),,,,
Java,,,,,
D,,,x.property,,
Python,,,,,
Visual Basic .NET,,,,,
Xojo,,,,,
Windows PowerShell,,,,[cls]::member,
F#,,,,cls.member,
eC,x.method«(parameters)»,x.field,x.property,cls::member,ns::member
Eiffel,x.method«(parameters)»,x.field,,{cls}.member,rowspan=2 
Ruby,,,x.property,cls.member,
PHP,x->method(parameters),x->field,x->property,cls::member,ns\member
Perl,x->method«(parameters)»,x->{field},,cls->method«(parameters)»,ns::member
Raku,x.method«(parameters)» or x!method«(parameters)»,x.field or x!field,,cls.method«(parameters)» or cls!method«(parameters)»,ns::member
OCaml,x#method «parameters»,colspan=2 ,,,
JavaScript,x.method(parameters) x["method"](parameters),x.field x["field"],x.property x["property"],cls.member cls["member"],
COBOL,INVOKE x "method" «USING parameters» «RETURNING result» or x::"method"«(«parameters»)»,,property OF x,INVOKE cls "method" «USING parameters» «RETURNING result» or cls::"method"«(«parameters»)» or property OF cls,
Cobra,x.method«(parameters)»,x.field,x.property,cls.member,ns.member
