! Precondition,Postcondition,Check,Invariant,Loop
ABAP Objects,colspan=5 rowspan=2 ,,,
C++ (STL),,,,
C#,Spec#: type foo( «parameters» ) requires expression { body },Spec#: type foo( «parameters» ) ensures expression { body },,
Java,colspan=5 rowspan=3 ,,,
Objective-C,,,,
Visual Basic .NET,,,,
D,f in { asserts } body{ instructions },f out (result) { asserts } body{ instructions },assert(expression),invariant() { expression }
Eiffel,f require tag: expression do end,f do ensure tag: expression end,f do check tag: expression end end,class X invariant tag: expression end
Python,colspan=5 rowspan=3 ,,,
PHP,,,,
Perl,,,,
Raku,PRE { condition },POST { condition },,
Ruby,colspan=5 rowspan=5 ,,,
Windows PowerShell,,,,
OCaml,,,,
F#,,,,
COBOL,,,,
