Software,Web-based,Hosted on-premises,SaaS,License,Programming language
2-plan,,,,"Proprietary, Open source[2]",Java and PHP
24SevenOffice,,,,,
Actionspace,,,,,
Apache Allura,,,,Apache License,Python
Apache OFBiz,,,,Apache License,"Java, XML, FreeMarker, Groovy, JavaScript"
Apache Bloodhound,,,,Apache License,Python
Asana,,,,,
Assembla,,,,,
Axosoft,,,,,
Basecamp,,,,,Ruby
BigGantt,,,,,"Java, Angular"
BigPicture,,,,,"Java, Angular"
Calligra Plan,,text=File-based,,GPL,C++ and Java
CEITON,,,,,"ASP.NET, JavaScript"
Clarizen,,,,,
Clubhouse Software,,,,,"Clojure, JavaScript"
Collabtive,,,,Open source (core only),PHP
Compuware Changepoint,,,,,
ConceptDraw Project,,,,,
ConceptDraw PLAN,,,,,PHP and Java
Copper Project,,,,,
dotProject,,,,GPL,PHP
DynaRoad,,,,,
Easy projects,,,,,ASP.NET
Eclipse PPM software,,,,,
Endeavour Software Project Management,,,,GPL,Java
eGroupWare,,,,GPL,PHP
enQuire,,,,,Java
FastTrack Schedule,,,,,
Feng Office Community Edition,,,,AGPLv3,PHP
FinancialForce.com,,,,,
FogBugz,,,,,ASP.NET
Fossil-scm,,,,2-clause BSD license,SQLite and C
Freedcamp,,,,,
FusionForge,,,,GPL,PHP
GanttProject,,,,GPL,Java
Genius Project,,,,,
Group-Office,,,,,
GroveSite,,,,,
Hall.com,,,,,
Helix ALM,,,,,C++
HeySpace,,,,,JavaScript
HP Project & Portfolio Software,,,,,
Huddle,,,,,
Hyperoffice,,,,,
iManageProject,,,,,
InLoox,,,,,
in-Step BLUE,,,,,
IRise,,,,,Java
Jira,,,,,Java
Launchpad,,,,AGPL,Python
LibrePlan,,,,AGPL,Java
LiquidPlanner,,,,,Ruby
LisaProject,,,,,
MacProject,,,,,
MantisBT,,,,GPL,PHP
Métier,,,,,
Microsoft Dynamics AX,,,,,X++
Microsoft Office Project Server,,,,,
Microsoft Project,,,,,
Microsoft SharePoint Server,,,,,
Microsoft Team Foundation Server,,,,,
Milestones Professional,,,,,C++
Mingle,,,,,Ruby on Rails
MyWorkPLAN,,,,,
NetPoint,,,,,
NetSuite,,,,,
O3Spaces,,,,,
OmniPlan,,,,,
Onepager pro,,,,,ASP.NET
Open Workbench,,,,Open source,
OpenProj,,,,CPAL,Java
OpenProject,,,,GPL,Ruby on Rails and AngularJS
OnlyOffice,,,,GPL,ASP.NET
Oracle Primavera EPPM (Primavera P6),,,,,
phpGroupWare,,,,GPL,PHP
PHProjekt,,,,LGPL,PHP
Pivotal Tracker,,,,,Ruby
Plandora,,,,LGPL,Java
Planisware,,,,,
PLANTA Project,,,,,
Project Builder,,,,,
Project KickStart,,,,,
Project Team Builder,,,,,
Projector PSA,,,,,
ProjectLibre,,,,CPAL,Java
ProjectManager.com,,,,,
Project.net,,,,GPL,Java
Projectplace,,,,,
Projektron BCS,,,,,Java
ProjeQtOr,,,,AGPL,PHP
Proliance,,,,,
ProjectLink,,,,,
Prolog,,,,,
Priority Matrix,,,,,
Pyrus,,,,,
RationalPlan,,,,,
Realisor,,,,,
Redbooth,,,,AGPL;[14] Proprietary (version 4),Ruby on Rails
Redmine,,,,GPL,Ruby
Rillsoft Project & Integration Server,,,,,C++ and PHP
RiskyProject,,,,,
SAP Business ByDesign,,,,,
Sciforma,,,,,
Scoro,,,,,PHP[18]
Seavus Project Viewer (software),,,,,C++
Severa,,,,,
Smartsheet,,,,,PHP
Spider Project,,,,,
Streamtime Software,,,,,PHP
TACTIC,,,,Eclipse Public License,Python
Taiga,,,,AGPL,Python
Talygen,,,,,ASP.NET
TaskJuggler,,,,GPL,Ruby
Teamcenter,,,,,
TeamDynamixHE,,,,,
Teamwork.com,,,,,
Tom's Planner,,,,,
Trac,,,,(modified) BSD license,Python
TrackerSuite.Net,,,,,
Traction TeamPage,,,,,Java
Trello,,,,,"CoffeeScript, Backbone.js, HTML5, Mustache templating language, MongoDB, Node.js, Socket.io"
Triskell,,,,,Java
Tuleap,,,,GPL,
Twproject,,,,,
UniPhi,,,,,ASP.NET
Vpmi,,,,,
web2project,,,,GPL,PHP
Workamajig,,,,,
Workfront,,,,,
WorkPLAN Enterprise,,,,,
Workspace.com,,,,,
Wrike,,,,,
Zoho Projects,,,,,PHP
