,Selection editing,Layers,Alpha Channel,Histogram,Scripting,HDR,Retouching,Resizing,Noise removal,Lens correction,Sized Printing,Sharpening,Color correction,Image library,Plug-in support[18],Non-destructive editing
Ability Photopaint,,,,,,,,,,,,,,,,
ACD Canvas,,,,,,,,,,,,,,,,
ACDSee (Win),,,,,,,,,,,,,,,,
Acorn Image Editor,,,,,,,,,,,,,,,,
Adobe Fireworks*,,,,,,,,,,,,,,,,
Adobe Photoshop,,,,,,,,,,,,,,,,
Adobe Photoshop Lightroom,,,,,,,,,,,,,,,,
Affinity Photo,,,,,,,,,,,,,,,,
Aperture,,,,,,,,,,,,,,,,
Autodesk SketchBook Pro,,,,,,,,,,,,,,,,
Artipic,,,,,,,,,,,,,,,,
ArtRage,,,,,,,,,,,,,,,,
Artweaver,,,,,Via plug-in[19],,,,,,,,,,,
Bibble*,,,,,,,,,,,,,,,,
Bloom Image Editor,,,,,,,,,,,,,,,,
Black Ink,,,,,,,,,,,,,,,,
Brush Strokes Image Editor,,,,,,,,,,,,,,,,
Capture One,,,,,,,,,,,,,,,,
Chasys Draw IES,,,,,,,,,,,,,,,,
CinePaint,,,,,,,,,,,,,,,,
CodedColor PhotoStudio Pro,,,,,,,,,,,,,,,,
Corel PaintShop Pro,,,,,,,,,,,,,,,,
Corel Painter,,,,,,,,,,,,,,,,
Corel Photo-Paint,,,,,,,,,,,,,,,,
darktable,,,,,,,,,,,,,,,,
Deluxe Paint*,,,,,,,,,,,,,,,,
DigiKam,,,,,,,,,,,,,,,,
Erdas Imagine,,,,,,,,,,,,,,,,
Fatpaint,,,,,,,,,,,,,,,,
Fotografix,,,,,,,,,,,,,,,,
GIMP,,,,,,Via plug-in[21],,,,,,,,,,
GIMPshop,,,,,,,,,,,,,,,,
GraphicConverter,,,,,,,,,,Via plug-in,,,,,,
HDR PhotoStudio,,,,,,,,,,,,,,,,
Helicon Filter,,,,,,,,,,,,,,,,
iPhoto*,,,,,,,,,,,,,,,,
IrfanView,,,,,,,Via plug-in[25],,,,,,,,,
Iridient Developer,,,,,,,,,,,,,,,,
Kolourpaint,,,,,,,,,,,,,,,,
Krita,,,,,,,,,,,,,,,,
LiveQuartz,,,,,,,,,,,,,,,,
MacPaint*,,,,,,,,,,,,,,,,
Microsoft Office Picture Manager*,,,,,,,,,,,,,,,,
Microsoft Paint,,,,,,,,,,,,,,,,
Microsoft Photo Editor*,,,,,,,,,,,,,,,,
mtPaint,,,,,,,,,,,,,,,,
OpenCanvas,,,,,,,,,,,,,,,,
Paint.NET,,,,,,,,,,,,,,,,
Paint Tool SAI,,,,,,,,,,,,,,,,
PC Paintbrush*,,,,,,,,,,,,,,,,
Photogenics,,,,,,,,,,,,,,,,
PhotoLine,,,,,,,,,,,,,,,,
PhotoPerfect*,,,,,,,,,,,,,,,,
Photos,,,,,,,,,,,,,,,,
Photo Raster,,,,,,,,,,,,,,,,
Picasa*,,,,,,,,,,,,,,,,
PicMaster,,,,,,,,,,,,,,,,
PixBuilder Photo Editor,,,,,,,,,,,,,,,,
Pixelmator,,,,,,,,,,,,,,,,
Pixia,,,,,,,,,,,,,,,,
Project Dogwaffle,,Commercial version,,,,,,,,,,,,,,
QFX,,,,,,,,,,,,,,,,
RawTherapee,,,,,,,,,,,,,,,,
Serif PhotoPlus,,,,,,,,,,,,,,,,
Side Effects Houdini,,,,,,,,,,,,,,,,
Tux Paint,,,,,,,,,,,,,,,,
TVPaint,,,,,,,,,,,,,,,,
Ulead PhotoImpact*,,,,,,,,,,,,,,,,
Ultimate Paint*,,,,,,,,,,,,,,,,
WinImages,,,,,,,,,,,,,,,,
Xara Photo & Graphic Designer,,,,,,,,,,,,,,,,
XnView,,,,,,,,,,,,,,,,
XPaint,,,,,,,,,,,,,,,,
Zoner Photo Studio,,,,,,,,,,,,,,,,
