,TGA,RAW imports,BMP,GIF,JPEG,JPEG 2000,HD Photo,PNG,TIFF,PSD,PSP,XCF,PCX,ORA,HEIF
Ability Photopaint,,,,,,,,,,,,,,,
ACD Canvas,,,,,,,,,,,,,,,
ACDSee (Win),,,,,,,,,,,,,,,
Acorn Image Editor,,,,,,,,,,,,,,,
Adobe Fireworks*,,,,,,,,,,,,,,,
Adobe Photoshop,,,,,,Via plug-in[32],,,,,,,,,
Adobe Photoshop Lightroom,,,,Via plug-in[33],,Via plug-in[34],,Via plug-in[33],,,,,,,
Affinity Photo,,,,,,,,,,,,,,,
Autodesk SketchBook Pro,,,,,,,,,,,,,,,
Artipic,,,,,,,,,,,,,,,
ArtRage,,,,,,,,,,,,,,,
Artweaver,,,,,,,,,,,,,,,
Bibble*,,,,,,,,,,,,,,,
Brush Strokes Image Editor,,,,,,,,,,,,,,,
Capture One,,,,,,,,,,,,,,,
Chasys Draw IES,,,,,,,,,,,,,,,
CinePaint,,,,,,,,,,,,,,,
CodedColor PhotoStudio Pro,,,,,,,,,,,,,,,
Corel PaintShop Pro,,,,,,,,,,,,,,,
Corel Painter,,,,,,,,,,,,,Import,,
Corel Photo-Paint,,,,,,,,,,,,,,,
darktable,,,,,,,,,,,,,,,
Deluxe Paint*[38],,,,,,,,,,,,,,,
DigiKam,,,,,,,,,,,,,,,
Erdas Imagine,,,,,,,,,,,,,Import,,
Fatpaint,,,,,,,,,,,,,,,
Fotografix,,,,,,,,,,Import only,,Import only,Import only,,
GIMP,,,,,,,Via plug-in[41],,,,,,,,
GIMPshop,,,,,,,,,,,,,,,
GrafX2,,,,,Import only,,,,,,,,,,
GraphicConverter,,,,,,,,,,,,,,,
HDR PhotoStudio,,,,,,,,,,,,,,,
Helicon Filter,,,,Import,,,,,,,,,,,
ImageMagick,,,,,,,,,,,,,,,
iPhoto*,,,,,,,,,,,,,,,
IrfanView,,Via plug-in,,,,Via plug-in,Via plug-in,,,,,,,,
Iridient Developer,,,,,,,,,,,,,,,
Kolourpaint,,,,,,,,,,,,Import,,,
Krita,,,,,,,,,,,,,Import,,
LiveQuartz,,,,,,,,,,,,,,,
LazPaint,,,,,,,,,,,,,,,
MacPaint*,,,,,,,,,,,,,,,
Microsoft Office Picture Manager*,,,,,,,,,First page only[46],,,,,,
Microsoft Paint,,,,,,,,,,,,,,,
Microsoft Photo Editor*,,,,,,,,,,,,,Import,,
mtPaint,,,,,,,,,,,,,,,
OpenCanvas,,,,,,,,,,,,,,,
Paint.NET,,,,,,,,,Via plug-ins[50],,,,,,
Paint Tool SAI,,,,,,,,,,,,,,,
PC Paintbrush*,,,,,,,,,,,,,,,
Photogenics,,,,,,,,,,,,,,,
PhotoLine,,,,,,,,,,,,,,,
PhotoPerfect*,,,,,,,,,,No layer support,,,,,
Photos,,,,,,,,,,,,,,,
Photo Raster,,,Import,Import,,,,,Import,,,,Import,,
Picasa*,,,Import,Import,,,,Import,,Import,,,,,
PicMaster,,,,,,,,,,,,,,,
PixBuilder Photo Editor,,,,,,,,,,,,,,,
Pixelmator,,,,,,,,,,,,,,,
Pixia,,,,,,,,,,,,,,,
PMview,,,,,,,,,,,,,,,
Project Dogwaffle,,,,,,,,,,,,,,,
QFX,,,,,,,,,,,,,,,
RawTherapee,,,,,,,,,,,,,,,
Seashore,,,,,,,,,,,,,,,
Serif PhotoPlus,,,,,,,,,,,,,,,
Tux Paint[51],,,,Import,Import,,,,,,,,,,
TVPaint,,,,,,,,,,,,,,,
Ulead PhotoImpact*,,,,,,,,,,,Import,,,,
Ultimate Paint*,,,,,,,,,,,,,,,
WinImages,,,,,,,,,,,,,,,
Xara Photo & Graphic Designer,,,,,,,Import only,,,,,,,,
XnView,,,,,,,,,,,,Import,,,
XPaint,,,,,,,,,,,,,,,
Zoner Photo Studio,,,,,,Import only,,,,Import only,Import only,,,,
