,sRGB,Adobe sRGB,Indexed,Grayscale,CMYK,LAB,HSV
Ability Photopaint,,,,,Import only,,
ACD Canvas,,,,,,,
ACDSee (Win),,,,,,,
Acorn Image Editor,,,Import only,Import only,,Import only,Import only
Adobe Fireworks*,,,,,,,
Adobe Photoshop,,,,,,,
Adobe Photoshop Lightroom,,,,,Import only,,
Affinity Photo,,,,,,,
Autodesk SketchBook Pro,,,,,,,
Artipic,,,,Import only,Import only,Import only,Import only
ArtRage,,,,,,,
Artweaver,,,,,,,
Black Ink*,,,,,,,
Bibble*,,,,,,,
Brush Strokes Image Editor,,,,,,,
Capture One,,,,,,,
Chasys Draw IES,,,,,,,
CinePaint,,,,,,,
CodedColor PhotoStudio Pro,,,,,,,
Corel PaintShop Pro,,,,,,,
Corel Painter,,,,,,,
Corel Photo-Paint,,,,,,,
darktable,,,,,,,
Deluxe Paint*,,,,,,,
Erdas Imagine,,,,,,,
Fatpaint,,,,,,,
Fotografix,,,Import only,Import only,Import only,,
GIMP,,,,,,,
GIMPshop,,,,,,,
GrafX2,,,,,,,
GraphicConverter,,,,,,,
Helicon Filter,,,,,,,
iPhoto*,,,,,,,
IrfanView,,,,,,,
Iridient Developer,,,,,,,
Kolourpaint,,,,,,,
Krita,,,,,,,
MacPaint*,,,,,,,
Microsoft Office Picture Manager*,,,,,,,
Microsoft Paint,,,Import only,,,,
Microsoft Photo Editor*,,,,,,,
mtPaint,,,,,,,
OpenCanvas,,,,,,,
Paint.NET,,,,,,,
Paint Tool SAI,,,,,,,
PC Paintbrush*,,,,,,,
Photogenics,,,,,,,
PhotoLine,,,,,,,
PhotoPerfect*,,Import only,,,Import only,Curve editing only,
Photos,,,,,,,
Photo Raster,,,,,,,
Picasa*,,,,,,,
PicMaster,,,,,,,
PixBuilder Photo Editor,,,,,,,
Pixelmator,,,,,,,
Pixia,,,,,,,
Project Dogwaffle,,,,,,,
QFX,,,,,,,
RawTherapee,,,,,,,
Seashore,,,,,,,
Serif PhotoPlus,,,,,,,
Tux Paint,,,,,,,
TVPaint,,,,,,,
Ulead PhotoImpact*,,,,,Import only,,
Ultimate Paint*,,,,,,,
WinImages,,,,,,,
Xara Photo & Graphic Designer,,,,,,,
XnView,,,,,,,
XPaint,,,,,,,
Zoner Photo Studio,,,,,,,
