Software,BibTeX,Copac,CSA,Endnote/Refer/BibIX,ISI,Medline,MODS XML,Ovid,PubMed,RIS,SciFinder,Other
Bebop,,,,,,,,,,,,none
BibBase,,,,,,,,,,,,none
BibDesk,,,,,,,,,,,,"MARC, JSTOR, Reference Miner"
Biblioscape,,,,,,,,,,,,?
BibSonomy,,,,,,,,,,,,Firefox bookmarks
Bibus,,,,,,,,,,,,none
Bookends,,,,,,,,,,,,various [2]; user-customizable
Citavi,,,,,,,,,,,,various
CiteULike,,,,,,,,,,,,none
colwiz,,,,,,,,,,,," with built-in browser, bookmarklet"
EndNote,,,,,,,,,,,,various[19]
JabRef,,,,,,,,,,,,"BibTexML, Biblioscape, Biomail, Inspec, JSTOR, MSBib, PDF widh XMP annotations, REPEC (NEP), SilverPlatter, SixPack"
KBibTeX,,,,,,,,,,,,none
Mendeley,,,,,,,,,,,,Browser bookmarks
Paperpile,,,,,,,,,,,,PDF
Pybliographer,,,,,,,,,,,,none
Qiqqa,,,,,,,,,,,,none
ReadCube (now Papers),,,,,,,,,,,,PDFalign=style=color=
refbase,,,,,,,,,,,,RefWorks
RefDB,,,,,,,,,,,,"MARC, risx"
Reference Manager,,,,,,,,,,,,various;[20] user-customizable
Referencer,,,,,,,,,,,,none
RefME,,,,,,,,,,,,
RefWorks,,,,,,,,,,,,various[21]
SciRef,,,,,,,,,,,,?
Sente,,,,,,,,,,,,"Dublin Core, Marc21 SUTRS, JSTOR, SilverPlatter"
Wikindx,,,,date=April 2009,,,,,date=April 2009,date=April 2009,,"ISI, BibReX LaTeX"
WizFolio,,,,,,,,,,,,Internet Browser bookmarks[22]
Zotero[23],,,,,,,,,,,,"COinS, MARC, RDF, unAPI, Browser bookmarks, Endnote XML"
