Software,Windows,macOS,Linux,ChromeOS,BSD,Unix,iOS App,Android App,Windows App
Bebop,,,,,,,,,
BibBase,,,,,,,,,
BibDesk,,,,,,,Third-party - PocketBib,,
Biblioscape,,,,,,,,,
BibSonomy,,,,,,,,,
Bibus,,,,,,,,,
Bookends,,,,,,,,,
Citavi,,,,,,,,,
CiteULike,,,,,,,,,
colwiz,,,,,,,,,
EndNote,,,,,,,,,
JabRef,,,,,,,,,
KBibTeX,,,,,,,,,
Mendeley,,,,,,,,,
Paperpile,,,,,,,in beta,in beta,
Pybliographer,,,,,,,,,
Qiqqa,,,,,,,,,
ReadCube (now Papers),Yesalign=style=color=,Yesalign=style=color=,Noalign=style=color=,Yesalign=style=color=,,,,,Yesalign=style=color=
refbase,,,,,,,,,
RefDB,,,,,,,,,
Reference Manager,,,,,,,,,
Referencer,,,,,,,,,
RefME,,,,,,,,,
RefWorks[13],,,,,,,No - but is responsive,,
SciRef,,,,,,,,,
Sente,,,,,,,,,
Wikindx,,,,,,,,,
WizFolio,,,,,,,,,
Zotero,,,,,,,third party,"third party - Aziz, Lite![15]",
