Software,Word for Windows,Word for Mac,Word Online,Pages,Apache OpenOffice / LibreOffice,Kile/LyX,Google Docs,RTF scan[30],Other
Bebop,,,,,,,,,none
BibBase,,,,,,,,,none
BibDesk,,,,,,,,,
Biblioscape,,,,,,,,,WordPerfect
BibSonomy,,,,,,,,,none
Bibus,,,,,,,,,none
Bookends,,,,,,,,,"Mellel, Nisus"
Citavi,,,,,Only versions prior to 6.0,,,Only versions prior to 6.0,"LaTeX editors LEd, Texmaker, TeXnicCenter, TeXstudio, TeXworks, WinEdt, WinShell"
CiteULike,,,,,,,,,none
colwiz,,,,,,,,,"NeoOffice, Star Office"
EndNote,,,,,,,,,
JabRef,,,,,,,,,"Emacs, Texmaker, TeXstudio, Vim, WinEdt"
KBibTeX,,,,,,,,,none
Mendeley,,,,,,,,,NeoOffice
Paperpile,in beta,,,,,,,,
Pybliographer,,,,,,,,,none
Qiqqa,,,,,,,,,none
ReadCube (now Papers),,,,,,,Yesalign=style=color=,"Manuscripts App, Ulysses, Scrivener",
refbase,,,,,,,,,"PIRA, MediaWiki, SPIP"
RefDB,,,,,,,,,none
Reference Manager,,,,,,,,,none
Referencer,,,,,,,,,
RefME,,,,,,,,,
RefWorks,,,,,,,,,none
SciRef,,,,,,,,,none
Sente,,,,Only versions prior to 5.0,,,,,"Mellel, Nisus, TextEdit; HTML and plain text scan"
Wikindx,,,,,,,,,Integrated WYSIWYG word processor (RTF output for Word/OpenOffice)
WizFolio,,,,,,,,,Zoho Writer
Zotero,,,,,,(with LyZ)[40],,,NeoOffice
