Software,HTML,LaTeX[25],RTF,Plain text,RSS,Other
Bebop,,,,,,unAPI
BibBase,,,,,,
BibDesk,,,,,,"Atom, DOC, PDF, XML,"
Biblioscape,,,,,,
BibSonomy,,,,,,OpenOffice-CSV
Bibus,,,,,,
Bookends,,,,,,clipboard
Citavi,,,,,,"clipboard, DOC, ODT, PDF, HTML"
CiteULike,,,,,,PDF
colwiz,,,,,,PDF
EndNote,,,,,,"clipboard, XML"
JabRef,,,,,,clipboard
KBibTeX,,,,,,"PDF, PS"
Mendeley,,,,,,"clipboard, embeddable HTML widget, RSS"
Paperpile,,,,,,
Pybliographer,,,,,,
Qiqqa,,,,,,
ReadCube (now Papers),,,,,,PDF
refbase,,,,,,"Markdown, PDF, unAPI"
RefDB,,,,,,"DocBook, TEI"
Reference Manager,,,,,,clipboard
Referencer,,,,,,
RefME,,,,,,
RefWorks,,,,,,"DOC, ODT"
SciRef,,,,,,"Doc, others"
Sente,,,,,,clipboard
Wikindx,,,,,,Multiple via BibUtils plug-in
WizFolio,,,,,,"clipboard, DOC"
Zotero,,Possible via plugin[28],,Possible via plugins[29],,clipboard
