,Data Domain,Cursor,Trigger,Function 1,Procedure 1,External routine 1
4th Dimension,,,,,,
ADABAS,,,,,,
Adaptive Server Enterprise,,,,,,
Advantage Database Server,,,,,,
Altibase,,,,,,
Apache Derby,,,,,,
ClustrixDB,,,,,,
CUBRID,,,,,,
Empress Embedded Database,,,,,,
EXASolution,,,,,,
DB2,,,,,,
Firebird,,,,,,
HSQLDB,,,,,,
H2,,,,,,
Informix Dynamic Server,,,,,,
Ingres,,,,,,
InterBase,,,,,,
Linter SQL RDBMS,,,,,,
LucidDB,,,,,,
MariaDB,,,,,,
MaxDB,,,,,,
Microsoft Access (JET),,,,,"Yes, But single DML/DDL Operation",
Microsoft Visual Foxpro,,,,,,
Microsoft SQL Server,,,,,,
Microsoft SQL Server Compact (Embedded Database),,,,,,
Mimer SQL,,,,,,
MonetDB,,,,,,
MySQL,,,,,,
OpenBase SQL,,,,,,
Oracle,,,,,,
Oracle Rdb,,,,,,
OpenLink Virtuoso,,,,,,
Pervasive PSQL,,,,,,
Polyhedra DBMS,,,,,,
PostgreSQL,,,,,,
Raima Database Manager,,,,,,
RDM Server,,,,,,
SAP HANA,,,,,,
solidDB,,,,,,
SQL Anywhere,,,,,,
SQLite,,,,,,
Teradata,,,,,,
UniData,,,,,,
UniVerse,,,,,,
,Data Domain,Cursor,Trigger,Function 1,Procedure 1,External routine 1
