Database Name,ACID,Referential integrity,Transactions,Fine-grained locking,Multiversion concurrency control,Unicode,Interface,Type inference
4th Dimension,,,,,,,GUI & SQL,
ADABAS,,,,,,,proprietary direct call & SQL (via 3rd party),
Adaptive Server Enterprise,,,,Yesalign=style=color= (Row-level locking),align=style=color=Yes,,API & GUI & SQL,
Advantage Database Server,,,,,,,API & SQL,
Altibase,,,,,,,API & GUI & SQL,
Apache Derby,,,,,,,SQL,
ClustrixDB,,,,,,,SQL,
CUBRID,,,,,,,GUI & SQL,
DB2,,,,,,,GUI & SQL,
Empress Embedded Database,,,,,,,API & SQL,
EXASolution,,,,,,,API & GUI & SQL,
Firebird,,,,,,,API & SQL,
HSQLDB,,,,,,,SQL,
H2,,,,,,,SQL,
Informix Dynamic Server,,,,,,,"SQL, REST, and JSON",
Ingres,,,,,,,SQL & QUEL,
InterBase,,,,,,,SQL,
Linter SQL RDBMS,,,,,,,API & GUI & SQL,
LucidDB,,,,,,,SQL,
MariaDB,,,,,,,SQL,
MaxDB,,,,,,,SQL,
Microsoft Access (JET),,,,,,,GUI & SQL,
Microsoft Visual FoxPro,,,,,,,GUI & SQL,
Microsoft SQL Server,,,,,,,GUI & SQL,
Microsoft SQL Server Compact (Embedded Database),,,,,,,GUI & SQL,
Mimer SQL,,,,,,,API & GUI & SQL,
MonetDB,,,,,,,API & SQL & MAL,
MySQL,,,,,,,GUI 5 & SQL,
OpenEdge,,,,,,,GUI & SQL,
OpenLink Virtuoso,,,,,,,API & GUI & SQL,
Oracle,,,,,,,API & GUI & SQL,
Oracle Rdb,,,,,,,SQL,
Pervasive PSQL,,,,,,,API & GUI & SQL,
Polyhedra DBMS,,,,,,,API & SQL,
PostgreSQL,,,,,,,API & GUI & SQL,
Raima Database Manager,,,,,,,SQL & API,
RDM Server,,,,,,,SQL & API,
SAP HANA,,,,,,,API & GUI & SQL,
solidDB,,,,,,,API & SQL,
SQL Anywhere,,,,SAP SQL Anywhere Reference - Types of Lock,,,SAP SQL Anywhere Reference - HTTP Web Services & SQL,
SQLBase,,,,,,,API & GUI & SQL,
SQLite,,,,,,,API & SQL,
Teradata,,,,,,,SQL,
Tibero,,,,,,,API & GUI & SQL,
UniData,,,,,,,Multiple,
UniVerse,,,,,,,Multiple,
Database Name,ACID,Referential integrity,Transactions,Fine-grained locking,Multiversion concurrency control,Unicode,Interface,Type inference
