,Native network encryption1,Brute-force protection,Enterprise directory compatibility,Password complexity rules2,Patch access3,Run unprivileged4,Audit,Resource limit,Separation of duties (RBAC)5,Security Certification,Attribute-Based Access Control (ABAC)
4D,,,,,,,,,,,
Adaptive Server Enterprise,,,,,,,,,,,
Advantage Database Server,,,,,,,,,,,
DB2,,,",,,,,,,,
Empress Embedded Database,,,,,,,,,,,
EXASolution,,,,,,,,,,,
Firebird,,,,,,,,,,,
HSQLDB,,,,,,,,,,,
H2,,,,,,,,,,,
Informix Dynamic Server,,,,,,,,,,,
Linter SQL RDBMS,,,,,,,,,,,
MariaDB,,,",,,,,,,,
Microsoft SQL Server,,,,,,,,,,,
Microsoft SQL Server Compact (Embedded Database),",,,,,,,,,,
Mimer SQL,,,,,,,,,,,
MySQL,,,",,,,,,,,
OpenBase SQL,,,",,,,,,,,
OpenLink Virtuoso,,,,,,,,,,,
Oracle,,,,,,,,,,,
Pervasive PSQL,,,,,,,,,,,
Polyhedra DBMS,,,,,,,,,,,
PostgreSQL,,,",,,,"Limited, with triggers[156]",,,,
Raima Database Manager,,,,,,,,,,,
RDM Server,,,,,,,,,,,
SAP HANA,,,,,,,,,,,
solidDB,,,,,,,,,,,
SQL Anywhere,,,,,,,,,,,
SQLite,",,,,,,,,,,
Teradata,,,",,,,,,,,
! Native network encryption1,Brute-force protection,Enterprise directory compatibility,Password complexity rules2,Patch access3,Run unprivileged4,Audit,Resource limit,Separation of duties (RBAC)5,Security Certification,Attribute-Based Access Control (ABAC),
