,R-/R+ tree,Hash,Expression,Partial,Reverse,Bitmap,GiST,GIN,Full-text,Spatial,FOT,Duplicate index prevention
4th Dimension,,Cluster,,,,,,,,,,
ADABAS,,,,,,,,,,,,
Adaptive Server Enterprise,,,,,,,,,,,,
Advantage Database Server,,,,,,,,,,,,
Apache Derby,,,,,,,,,,,,
ClustrixDB,,,,,,,,,,,,
CUBRID,,,,,,,,,,,,
DB2,,,,,,,,,,,,
Empress Embedded Database,,,,,,,,,,,,
EXASolution,,,,,,,,,,,,
Firebird,,,,,,,,,,,,
HSQLDB,,,,,,,,,,,,
H2,,,,,,,,,,,,
Informix Dynamic Server,,,,,,,,,,,,
Ingres,,,Ingres v10,,,Ingres v10,,,,,,
InterBase,,,,,,,,,,,,
Linter SQL RDBMS10,,,,,,,,,,,,
LucidDB,,,,,,,,,,,,
MariaDB,"Aria and MyISAM tables and, since v10.2.2, InnoDB tables only[77]","MEMORY,[78] InnoDB,5 tables only",PERSISTENT virtual columns only[79],,,,,,,"Aria and MyISAM tables and, since v10.2.2, InnoDB tables only[77]",,
MaxDB,,,,,,,,,,,,
Microsoft Access (JET),,,,,,,,,,,,
Microsoft Visual Foxpro,,,,,,,,,,,,
Microsoft SQL Server,Spatial Indexes,,,,on Computed columns3,Bitmap filter index for Star Join Query,,,,,,
Microsoft SQL Server Compact (Embedded Database),,,,,,,,,,,,
Mimer SQL,,,,,,,,,,,,
MonetDB,,,,,,,,,,,,
MySQL,Spatial Indexes[85],"MEMORY, Cluster (NDB), InnoDB,5 tables only",,,,,,,"MyISAM tables[87] and, since v5.6.4, InnoDB tables[88]","MyISAM tables[89] and, since v5.7.5, InnoDB tables[90]",,
OpenLink Virtuoso,,Cluster,,,,,,,,,,
Oracle,,Cluster Tables,,,,,,,,,,
Oracle Rdb,,,,,,,,,,,,
Pervasive PSQL,,,,,,,,,,,,
Polyhedra DBMS,,,,,,,,,,,,
PostgreSQL,,,,,,,,,,PostGIS[95],,
Raima Database Manager,,,,,,,,,,,,
RDM Server,,,,,,,,,,,,
SAP HANA,,,,,,,,,,,,
solidDB,,,,,,,,,,,,
SQL Anywhere,,,,,,,,,,,,
SQLite,,,,,,,,,,SpatiaLite[99],,
SQream DB,,,,,,,,,,,,
Teradata,,,,,,,,,,,,
UniVerse,,,,,,,,,,,,
! R-/R+ tree,Hash,Expression,Partial,Reverse,Bitmap,GiST,GIN,Full-text,Spatial,FOT,Duplicate index prevention,
