Server,Security,,,virtual hosting,Dynamic contentname="Dynamic content",,,,,,,,Runs in user space or kernel space,Administration console,Additional protocol support,,,
,basic access authentication,digest access authentication,SSL/TLS https,,CGI,FCGI,SCGI,WSGI,Java Servlets,SSI,ISAPI,SSJS,,,IPv6,HTTP/2,QUIC,HTTP/3
AOLserver,,,name="RSA BSAFE"name="openSSL"name="NSS"[3],,,,,,,,,,user,,,,,
Apache HTTP Server,,,name="modules"name="openSSL"[4]name="GnuTLS"[5],,,,,name="modules",name="AJP",,name="mod_isapi",,user,via Geronimo,,,,
Apache Tomcat,,,name="jsse"[6],,,,,,,,name="ApacheTomcatISAPI",,user,,name="RequiresJVMIPv6Support",,,
Boa,,,with external patch,,,,,,,,,,user,,,,,
BusyBox httpd,,,,,,,,,,Implemented as CGI script httpd_ssi,,,user,,,,,
Caddy,,,,,CGI implemented for WebSocket connections,,,,,Same capabilities as SSI available with templates,,,user,,,,,The experimental_http3 option "enables experimental draft HTTP/3 support...This option will go away in the future".[7]
Caucho Resin Server,,,paid versionname="openSSL",,,,,,,,,,user,,,,,
Caudium,,,,,,,,,,,,,user,,name="CIPVN",,,
Cherokee HTTP Server,,,,,,,,,,,,,user,,,,,
HFS,,,,,,,,,,,,,user,,,,,
Hiawatha HTTP Server,,,name="PolarSSL"[10],,,,,,,,,,user,,,,,
IBM HTTP Server,,,,,,,,,,,,,user,,,,,
Internet Information Services,,,,,,,,,name="IIS Java",,,,kernel and user[12],,,,,
Jetty,,,,,,,,,,,,,user,,,,,
Jexus,,,,,,,,,,,,,user,,,,,
lighttpd,,,name="openSSL"[13],,,,,,name="AJP",,,,user,,,,,
LiteSpeed Web Server,,,,,,,,,name="AJP",,,,user,,,,,
Mongoose,,,,,,,,,,,,,user,,,,,
Monkey HTTP Server,,,name="PolarSSL",,,,,,,,,,user,,,,,
NaviServer,,,,,,,,,,,,,user,,,,,
NCSA HTTPd,,,,name="NCSA virtual hosting",,,,,,,,,user,,,,,
nginx,,,,,,,,,,,,,user,,,,name="nginx-quic"There is currently an nginx-quic special build for this.[19],name="nginx-quic"
OpenLink Virtuoso,,,,,,,,,,,,,user,,,,,
Oracle HTTP Server[20],,,,,,,,,,,,,user,via Enterprise Manager,,,,
Oracle iPlanet Web Server,,,,,,,,,,,,,user,,,,,
thttpd,,,,,,,,,,,,,user,,,,,
TUX web server,,,,,,,,,,,,,kernel,,,,,
Wakanda Server,,,,,,,,,,,,,user,,,,,
Xitami,,,paid version,,,,,,,,,,user,,,,,
Yaws,,,,,,,,,,,,,user,,,,,
Zeus Web Server,,,,,,,,,name="AJP",,,,user,,,,,
