Server,Windows,Linux,macOS,BSD,Solaris,eComStation,OpenVMS,AIX,IBM i,z/OS,HP-UX
AOLserver,,,,,,,,,,,
Apache HTTP Server,,,,,,,,,,,
Apache Tomcat,,,,,,,,,,,
Boa,,,,,,,,,,,
BusyBox httpd,,,,,,,,,,,
Caddy,,,,,,,,,,,
Caucho Resin Server,,,,,,,,,,,
Caudium[21],,,,,,,,,,,
Cherokee HTTP Server,,,,,,,,,,,
HFS,,,,,,,,,,,
Hiawatha,with Cygwin[23],,,,,,,,,,
IBM HTTP Server,,,,,,,,,,,
Internet Information Services,,,,,,,,,,,
Jetty (Java),,,,,,,,,,,
Jexus,,,,,,,,,,,
lighttpd,,,,,,,,,,,
LiteSpeed Web Server,,,,,,,,,,,
Mongoose,,,,,,,,,,,
Monkey HTTP Server,,,,,,,,,,,
NaviServer,,,,,,,,,,,
NCSA HTTPd,,,,,,,,,,,
nginx,,,,,,,,,,,
OpenLink Virtuoso,,,,,,,,,,,
Oracle HTTP Server,,,,,,,,,,,
Oracle iPlanet Web Server,,,,,,,,,,,
thttpd,,,,,,,,,,,
TUX web server,,,,,,,,,,,
Wakanda Server,,,,,,,,,,,
Xitami,,,,,,,,,,,
Yaws,,,,,,,,,,,
