Name,Launch,Market,Processor,,Device ID,Execution units,Core clock (MHz),Memory,,API support,,,Intel Clear Video HD
,,,Code name,Model,,,,DVMT (MB),Bandwidth (GB/s),Direct3D,OpenGL,OpenCL,
HD Graphics,2010,Desktop,Ironlake (Clarkdale),Celeron G1101,0042,12,533,1720,17,10.1 FL10_0,2.1 ES 2.0Linux,rowspan="24" ,rowspan="2" 
,,,,Pentium G69xx,,,,,,,,,
,,,,Core i3-5x0,,,733,,21.3,,,Yes,
,,,,Core i5-6x0,,,,,,,,,
,,,,Core i5-655K,,,,,,,,,
,,,,Core i5-661,,,900,,,,,,
,,Laptop,Ironlake (Arrandale),Celeron U3xxx,0046,,166–500,,12.8,,,rowspan="2" ,
,,,,Pentium U5xxx,,,,,,,,,
,,,,Core i3-3x0UM,,,,,,,,Yes,
,,,,Core i5-5x0UM,,,,,,,,,
,,,,Core i5-2520M,,,,,,,,,
,,,,Core i7-6x0UE,,,,,,,,,
,,,,Core i7-6x0UM,,,,,,,,,
,,,,Core i7-620LE,,,266–566,,17.1,,,,
,,,,Core i7-6x0LM,,,,,,,,,
,,,,Celeron P4xxx,,,500–667,,,,,rowspan="2" ,
,,,,Pentium P6xxx,,,,,,,,,
,,,,Core i3-330E,,,,,,,,Yes,
,,,,Core i3-3x0M,,,,,,,,,
,,,,Core i5-4x0M,,,500–766,,,,,,
,,,,Core i5-520E,,,,,,,,,
,,,,Core i5-5x0M,,,,,,,,,
,,,,Core i7-610E,,,,,,,,,
,,,,Core i7-6x0M,,,,,,,,,
