Model,Features,,,,,,,,
,Scalable Link Interface (SLI),"PureVideo 2 with VP2, BSP Engine, and AES128 Engine","PureVideo 3 with VP3, BSP Engine, and AES128 Engine",,,,,,
GeForce 9300 GE (G98),rowspan="7" ,rowspan="2" ,rowspan="2" ,,,,,,
GeForce 9300 GS (G98),,,,,,,,,
GeForce 9400 GT,rowspan="8" ,rowspan="8" ,,,,,,,
GeForce 9500 GT,,,,,,,,,
GeForce 9600 GSO,,,,,,,,,
GeForce 9600 GT,,,,,,,,,
GeForce 9800 GT,,,,,,,,,
GeForce 9800 GTX,rowspan="2" ,,,,,,,,
GeForce 9800 GTX+,,,,,,,,,
GeForce 9800 GX2,,,,,,,,,
