Meaning,Spanish,Portuguese
mayor,alcalde < Hisp. Ar. < Arabic alqá?i < q??i [73],presidente da câmara (municipal) / prefeito < Lat. praesidens + camara / praef?ctus
"bricklayer, stonemason",albañil < Hisp. Ar. < Arabic albanní < bann?[74],pedreiro < Lat. petra
potter,alfarero < Hisp. Ar. < Arabic alfa? ??r < fa? ??r[75],oleiro < Lat. ollarius
vest,chaleco < Alg. Ar. < Turk xileco < yelek[76],colete < Ita. coletto
basil,albahaca < Hisp. Ar. < Arabic al?abáqa < ?abaqah[77],"basílico, manjericão < Lat., uncertain origin basilicum, uncertain"
bean,alubia < Hisp. Ar. < Arabic alubía < al-lubiya ???????[78],feijão < Lat. faseolus [79]
celery,chirivía < Hisp. Ar. alcaravea < alkarawíyya [80][81],aipo < Lat. apium
watermelon,sandía < Hisp. Ar. < Arabic sindiyya ?????[78],melancia < Lat. bilancia < bilanx
pistachio,alfóncigo < Hisp. Ar. < Arabic fustuq[82],"pistácio, pistacho < Lat < Gre pistacium < pistákia[83]"
cheese-flavoured roll,almojábana < Hisp. Ar. almu?ábbana < ?ubn [84],"pão de queijo, bolinha de queijo < Lat. panis, bulla + caseus[85][86] [87]"
thrush,zorzal < Hisp. Ar. < Arabic zurzál < zurzir[88],tordo < Lat. turdus
hobby (bird),alcotán < Hisp. Ar. < Arabic qu?án < qa??m[89],ógea < uncertain origin *maybe O.Fra. hobe[90]
mackerel,jurel < Hisp. Ar < Lat šuríl < saurus[91],cavala < Gaulish < Celt . caballos [92]
sea bream,mojarra < Ar. Hisp. < Arabic moharra < mu?árraf[93][94],"dourada < Lat. < Provençal aurata, daurada[95]"
scorpion,"alacrán, escorpión < His. Ar. < Arabic, Lat. al‘aqráb < aqrab, scorp?o [96]",escorpião < Lat. scorp?o
mercury,azogue < His. Ar. < Arabic azzáwq < z?w?q[97],mercúrio < Lat. Mercurius
breast cancer,"zaratán, cáncer de mama < Arabic, Lat. saratan, cancer mamma [78]",cancro/câncer da mama < Lat. cancer mamma
robe (bath),albornoz < Hisp. Ar. < Arabic burnús < burn?s [98],"roupão, robe < Gothic, Fra. rauba, robe [99]"
"hostess, stewardess",azafata < Hisp. Ar < Arabic. assafá? < safá?[100],hospedeira (de bordo) < Lat. hospitis [101]
"sewage (system), gutter",alcantarilla < Hisp. Ar. < Arabic alqán?ara < qán?arah[102],"esgoto, goteira < Lat. guttae [103]"
jerk,mamarracho < Hisp. Ar < Arabic muharrá? < muharri?[104],parvo < Lat . parvulus [105]
"drunk, drunkard",borracho < Cat < Arabic marratxa < mirrassa[106],bêbado < Lat . bibitum
"to crimp, to compress, to link (verb)",engarzar < Hisp. Ar. < Arabic ?árza< ?arzah[107],"engrenar, endentar, comprimir < Lat. granum, dens, comprimere"
"to duck out, to skive off (verb)",escaquearse < Hisp. Ar. < Arabic iššáh < š?h[108],"escapar < Lat. < Proto-Italic excapp? <, kaput"
to save(financial) (verb),ahorrar < Arabic. alhurr ????[109],poupar < Lat. palp? < palp?re
"corner, edge",rincón < Hisp. Ar. < Arabic rukán < rukn[110],
"flowerbed, small garden, vegetable patch",arriate < Hisp. Ar. < Arabic arriyá? < riy?? [112],canteiro < Celtic kant[111]
Majorcan,mallorquí < Lat. maiorica + Arabic gentilic suffix -iyy,Maiorquino < Lat maiorica + -inus
Iraqi,"iraquí, irakí < Arabic demonym iraqiyy ?????[113]",Iraquiano < Lat. + suffix Iraqi + -anus
