Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
Audio playback,"AAC LC/LTP 3GPP, HE-AACv1 (AAC+), HE-AACv2 (enhanced AAC+) AMR-NB, AMR-WB, MP3, MIDI (Type 0 and 1, DLS versions 1 and 2), Ogg Vorbis, PCM/WAVE, FLAC, WAVE, Opus[237]","AAC, protected AAC (from iTunes Store), HE-AAC, MP3, MP3 VBR, Audible (formats 2, 3, 4, Audible Enhanced Audio, AAX, and AAX+), Apple Lossless, AIFF, WAV[238]","AAC, AAC+, eAAC+, AMR-NB, AMR-WB, MP3, Vorbis, WAV[239]","MP3, FLAC, AAC, eAAC, eAAC+, ALAC, AC3, DTS, Opus, Vorbis",?
Video playback,"H.263, H.264 (up to Baseline Profile), H.265 HEVC, MPEG-4 SP, DivX, XviD, VP8, VP9[237] (WMV on 3rd party software like VLC media player)","H.264 (up to High Profile), MPEG-4, M-JPEG[238]","H.263, H.264, MPEG-4 Part 2[239]","MPEG-4, H264, H263,[240] although audio in recorded videos is out of sync[241]",?
Wired video out,4K on 6+[242],"Up to 1080p via HDMI[243] or VGA,[244] 576p/480p via component[245] or composite;[246]",No,No[247],Yes
Wired digital audio output,5+ USB Audio[248],7+: USB Audio[249],No,No,Yes
Wireless video/audio streaming to set top boxes/TVs/speakers,"4.2+ Miracast,[250] but DLNA[251] only available on selected devices",AirPlay[252],DLNA[253],?,Yes
Media player on-device playlist creation,Yes[254],Yes[59],?,Yes,Yes
Media player video scrubbing,Yes,Yes,?,?,?
Media player audio scrubbing,Yes,Yes,?,?,?
Media player fine scrubbing,"No,[255] 3rd party software like VLC media player, basic fine scrubbing removed on 4+[256]",Yes[257],?,?,?
Media player double speed playing,6+[258],Only Podcasts[259],?,?,?
