Name,Users,Projects
Assembla,Unknown,"526,581+[48]"
Bitbucket,"5,000,000[49]",Unknown
Buddy,Unknown,Unknown
CloudForge,Unknown,Unknown
Gitea,Unknown,Unknown
GitHub,"31,000,000[50]","100,000,000[50]"
GitLab,"100,000[51]","546,000[52][k]"
GNU Savannah,"93,346[53]","3,848[53]"
Launchpad,"3,965,288[54]","40,881[55]"
OSDN,"54,826[56]","6,294[56]"
Ourproject.org,"6,353[57]","1,846[57]"
OW2 Consortium,Unknown,Unknown
Rosetta code,Unknown,Unknown
SEUL,Unknown,Unknown
SourceForge,"3,700,000[58]","500,000[58]"
Name,Users,Projects
